iter	Passed	Remaining
405	7064	10336
406	7082	10318
407	7101	10304
408	7121	10290
409	7138	10272
410	7153	10251
411	7168	10230
412	7186	10213
413	7202	10195
414	7219	10177
415	7237	10161
416	7253	10140
417	7269	10121
418	7283	10100
419	7299	10080
420	7315	10061
421	7334	10045
422	7350	10026
423	7367	10008
424	7382	9988
425	7395	9965
426	7413	9948
427	7434	9936
428	7449	9915
429	7466	9897
430	7482	9878
431	7499	9860
432	7520	9847
433	7541	9835
434	7559	9819
435	7577	9802
436	7592	9781
437	7608	9762
438	7626	9746
439	7643	9727
440	7661	9711
441	7679	9695
442	7697	9678
443	7714	9660
444	7731	9642
445	7746	9621
446	7767	9608
447	7786	9593
448	7803	9575
449	7819	9556
450	7833	9536
451	7850	9517
452	7868	9501
453	7887	9485
454	7903	9466
455	7918	9447
456	7936	9430
457	7954	9413
458	7970	9394
459	7988	9377
460	8004	9358
461	8020	9340
462	8038	9323
463	8056	9306
464	8074	9290
465	8094	9275
466	8111	9257
467	8127	9238
468	8143	9219
469	8159	9200
470	8179	9186
471	8199	9172
472	8217	9155
473	8233	9136
474	8249	9118
475	8268	9102
476	8285	9084
477	8302	9067
478	8323	9053
479	8340	9035
480	8357	9017
481	8374	8999
482	8393	8984
483	8411	8967
484	8428	8949
485	8446	8932
486	8463	8914
487	8479	8896
488	8495	8877
489	8513	8861
490	8530	8842
491	8544	8821
492	8563	8806
493	8581	8790
494	8597	8771
495	8615	8754
496	8636	8740
497	8655	8724
498	8675	8710
499	8699	8699
500	8721	8686
501	8741	8671
502	8758	8654
503	8778	8639
504	8796	8622
505	8814	8605
506	8833	8589
507	8850	8571
508	8869	8555
509	8887	8538
510	8902	8519
511	8921	8503
512	8938	8485
513	8954	8466
514	8971	8448
515	8990	8432
516	9007	8415
517	9024	8397
518	9045	8383
519	9067	8370
520	9088	8356
521	9106	8339
522	9125	8323
523	9143	8305
524	9161	8289
525	9181	8273
526	9200	8257
527	9217	8239
528	9235	8223
529	9251	8204
530	9266	8184
531	9286	8169
532	9307	8155
533	9325	8138
534	9340	8118
535	9357	8100
536	9372	8081
537	9390	8064
538	9409	8047
539	9426	8030
540	9444	8013
541	9464	7997
542	9482	7980
543	9500	7963
544	9519	7947
545	9537	7930
546	9553	7911
547	9568	7891
548	9585	7874
549	9603	7857
550	9621	7840
551	9639	7823
552	9656	7805
553	9673	7787
554	9689	7769
555	9708	7752
556	9725	7735
557	9746	7720
558	9762	7702
559	9779	7683
560	9798	7667
561	9816	7650
562	9834	7633
563	9853	7616
564	9869	7598
565	9889	7582
566	9908	7567
567	9928	7551
568	9942	7531
569	9962	7515
570	9978	7496
571	9993	7477
572	10011	7460
573	10029	7443
574	10048	7427
575	10068	7411
576	10084	7392
577	10099	7373
578	10116	7355
579	10135	7339
580	10154	7322
581	10171	7304
582	10190	7288
583	10206	7270
584	10221	7251
585	10238	7233
586	10256	7216
587	10274	7199
588	10293	7183
589	10312	7166
590	10329	7148
591	10358	7138
592	10386	7128
593	10409	7114
594	10429	7099
595	10457	7088
596	10486	7078
597	10523	7074
598	10545	7059
599	10564	7043
600	10580	7024
601	10601	7008
602	10623	6993
603	10641	6977
604	10660	6960
605	10679	6943
606	10700	6928
607	10722	6913
608	10739	6895
609	10754	6875
610	10772	6858
611	10786	6838
612	10805	6821
613	10825	6805
614	10843	6787
615	10858	6768
616	10873	6749
617	10891	6732
618	10909	6715
619	10931	6699
620	10947	6681
621	10962	6662
622	10980	6644
623	10997	6626
624	11015	6609
625	11033	6591
626	11050	6574
627	11071	6558
628	11086	6539
629	11104	6521
630	11122	6504
631	11140	6486
632	11157	6468
633	11176	6452
634	11193	6434
635	11213	6417
636	11229	6399
637	11246	6381
638	11269	6366
639	11294	6352
640	11313	6336
641	11334	6320
642	11356	6305
643	11378	6290
644	11398	6273
645	11417	6256
646	11436	6239
647	11456	6223
648	11478	6207
649	11498	6191
650	11520	6176
651	11540	6159
652	11558	6142
653	11579	6126
654	11600	6110
655	11620	6093
656	11640	6077
657	11657	6059
658	11672	6040
659	11689	6021
660	11709	6005
661	11724	5986
662	11740	5967
663	11757	5949
664	11774	5931
665	11792	5913
666	11813	5897
667	11828	5878
668	11844	5860
669	11860	5841
670	11881	5825
671	11898	5807
672	11917	5790
673	11936	5773
674	11952	5755
675	11970	5737
676	11986	5718
677	12003	5700
678	12024	5684
679	12041	5666
680	12057	5648
681	12075	5630
682	12091	5612
683	12107	5593
684	12124	5575
685	12144	5558
686	12161	5540
687	12177	5522
688	12194	5504
689	12210	5486
690	12226	5467
691	12245	5450
692	12262	5432
693	12280	5414
694	12297	5396
695	12315	5379
696	12333	5361
697	12353	5344
698	12370	5327
699	12387	5308
700	12404	5291
701	12422	5273
702	12441	5256
703	12460	5238
704	12481	5222
705	12506	5208
706	12528	5192
707	12553	5177
708	12574	5160
709	12592	5143
710	12611	5126
711	12629	5108
712	12646	5090
713	12665	5073
714	12683	5055
715	12708	5040
716	12725	5022
717	12742	5004
718	12761	4987
719	12777	4969
720	12793	4950
721	12809	4932
722	12829	4915
723	12850	4898
724	12867	4880
725	12886	4863
726	12901	4844
727	12921	4827
728	12942	4811
729	12960	4793
730	12976	4775
731	12994	4757
732	13014	4740
733	13028	4721
734	13045	4703
735	13061	4685
736	13080	4667
737	13100	4650
