iter	MultiClass
138	0.8965901603
139	0.8965268682
140	0.8964765097
141	0.8963822461
142	0.8963018766
143	0.8962506312
144	0.896159832
145	0.8960716534
146	0.8959974621
147	0.8959546441
148	0.8959038183
149	0.895786016
150	0.8957035972
151	0.8956256659
152	0.8955532538
153	0.8954967167
154	0.8953662026
155	0.8952722509
156	0.8951927348
157	0.8951179547
158	0.8950624688
159	0.8950230204
160	0.8949694547
161	0.8949181554
162	0.894846436
163	0.8947698029
164	0.894699584
165	0.8946463099
166	0.8945489291
167	0.894489955
168	0.8944207085
169	0.894329814
170	0.894281107
171	0.8941743737
172	0.8940944569
173	0.8940636815
174	0.8939991477
175	0.8939321865
176	0.8938477947
177	0.8937897053
178	0.8937231035
179	0.8936516878
180	0.8935909158
181	0.8935342832
182	0.8934463952
183	0.8933967228
184	0.893321317
185	0.8932450976
186	0.8931502451
187	0.8930923267
188	0.8930020413
189	0.8929630359
190	0.8928801216
191	0.8928226137
192	0.8927716731
193	0.8927228271
194	0.8926199623
195	0.8925615342
196	0.8925231905
197	0.892469225
198	0.8924393471
199	0.8923796674
200	0.8923074303
201	0.8922379166
202	0.8922052076
203	0.8921475311
204	0.892042761
205	0.8920131228
206	0.891957193
207	0.8919120336
208	0.8917905015
209	0.8917226627
210	0.8916859556
211	0.8916074642
212	0.8915747707
213	0.8915066737
214	0.8914523803
215	0.891366432
216	0.891329439
217	0.8912848873
218	0.8912454673
219	0.8911729287
220	0.891117517
221	0.8910682792
222	0.8909772332
223	0.890915115
224	0.8908827515
225	0.8908101375
226	0.890754976
227	0.8907083297
228	0.8906594758
229	0.8906258161
230	0.8905852414
231	0.8905154744
232	0.8904258668
233	0.8903837274
234	0.8903460074
235	0.8902789472
236	0.8901930093
237	0.8901356957
238	0.8900801956
239	0.8900322003
240	0.8899465409
241	0.8899142886
242	0.8898219181
243	0.8897392204
244	0.8896920043
245	0.8896545587
246	0.8896191278
247	0.8895521907
248	0.8894831304
249	0.8894356209
250	0.889408177
251	0.8893658615
252	0.8893396073
253	0.8893112966
254	0.8892605103
255	0.8892359947
256	0.8891591093
257	0.8891221462
258	0.8890617384
259	0.8889657647
260	0.8888535884
261	0.8888093705
262	0.8887580012
263	0.8886833836
264	0.8886323411
265	0.8885764108
266	0.8885113598
267	0.888457477
268	0.8884128691
269	0.8883693338
270	0.8883075928
271	0.8882444104
272	0.8881859249
273	0.8881517799
274	0.8881024741
275	0.8880693733
276	0.8880465565
277	0.8880104024
278	0.8879637278
279	0.887891231
280	0.887822867
281	0.887797199
282	0.8877379609
283	0.8876741746
284	0.8876072403
285	0.8875651506
286	0.8875417521
287	0.8874939408
288	0.8874714484
289	0.8874068006
290	0.8873565528
291	0.8872931066
292	0.8871917163
293	0.8871653249
294	0.8871031214
295	0.887053459
296	0.887001469
297	0.8869917711
298	0.8869339812
299	0.8868734682
300	0.8868121581
301	0.8867951662
302	0.8867321695
303	0.8866952001
304	0.8866289937
305	0.8865727744
306	0.8865142046
307	0.8864811199
308	0.8864659426
309	0.8864245975
310	0.8863517719
311	0.886319876
312	0.8862618576
313	0.8861973318
314	0.8861622893
315	0.8861304594
316	0.8860657534
317	0.8860242879
318	0.8859882458
319	0.8859608651
320	0.885868153
321	0.8857815637
322	0.8857387619
323	0.8856537146
324	0.8855908282
325	0.8855189886
326	0.8854259104
327	0.8854079268
328	0.8853558088
329	0.8852748291
330	0.885230091
331	0.8851737413
332	0.8851404082
333	0.8850850801
334	0.885062334
335	0.8850100317
336	0.8849359506
337	0.8849116087
338	0.8848556776
339	0.8848398302
340	0.8847799412
341	0.8847488434
342	0.8847100979
343	0.8846598416
344	0.884584093
345	0.8845156384
346	0.8844356247
347	0.8843916728
348	0.8843360082
349	0.8843048789
350	0.8842790328
351	0.8842006078
352	0.8841392485
353	0.8841064841
354	0.8840491772
355	0.8839927999
356	0.8838919981
357	0.8838668024
358	0.8838056297
359	0.8837283161
360	0.8836660001
361	0.8836469586
362	0.8835890252
363	0.8835557903
364	0.883537389
365	0.8834939083
366	0.8834649899
367	0.8833793865
368	0.8833281012
369	0.8832855257
370	0.8832378704
371	0.8832009418
372	0.8831336042
373	0.8831090489
374	0.8830636918
375	0.883013858
376	0.8829834794
377	0.8828991763
378	0.882846282
379	0.8827608463
380	0.8827208279
381	0.8826338142
382	0.8825583706
383	0.882521681
384	0.8824708205
385	0.8824282032
386	0.8823799522
387	0.8823052087
388	0.882249109
389	0.8822200244
390	0.8821803123
391	0.8821354297
392	0.8820737567
393	0.8819903528
394	0.8819547426
395	0.8818910837
396	0.8818362969
397	0.8817829319
398	0.8817112875
399	0.8816865661
400	0.8816548689
401	0.8816120902
402	0.8815508713
403	0.8815040158
404	0.8814595199
405	0.8814213199
406	0.881368732
407	0.8813055613
408	0.8812767396
409	0.8812453934
410	0.8811675871
411	0.8811389465
412	0.881089871
413	0.8810456837
414	0.8810073733
415	0.8809356743
416	0.8808597849
417	0.8807831811
418	0.8807282992
419	0.8806870319
420	0.8806361662
421	0.8805862867
422	0.8805485151
423	0.8804850516
424	0.8804486331
425	0.8803717731
426	0.8803279855
427	0.8802710446
428	0.880198516
429	0.8801509529
430	0.8801024148
431	0.880074292
432	0.8800067481
433	0.8799668655
434	0.8799233899
435	0.8798964278
436	0.8798346601
437	0.8798026292
438	0.879768108
439	0.8797300227
440	0.8797138908
441	0.8796591158
442	0.879600503
443	0.8795579736
444	0.879520355
445	0.8794917798
446	0.8794334424
447	0.8793631262
448	0.8793087447
449	0.8792439654
450	0.8791874097
451	0.8791335685
452	0.8791090322
453	0.8790602245
454	0.8790082131
455	0.8789626823
456	0.8789398511
457	0.8788811045
458	0.8788022214
459	0.8787402211
460	0.8786998746
461	0.87866502
462	0.8786011951
463	0.8785410344
464	0.878488163
465	0.8784559616
466	0.8783948071
467	0.878332494
468	0.8782831694
469	0.8782254252
470	0.8781621173
471	0.8781073459
472	0.878091816
473	0.8780391063
474	0.8780023657
475	0.8779568236
476	0.8779119028
477	0.8778723061
478	0.8778549562
479	0.8778172168
480	0.8777431123
481	0.8776995806
482	0.8776501874
483	0.8775831729
484	0.8775041207
485	0.8774797769
486	0.8774479079
487	0.877407825
488	0.877364949
489	0.8773347985
490	0.877285424
491	0.8772310259
492	0.8771890321
493	0.8771463337
494	0.8770895795
495	0.877044602
496	0.8769775422
497	0.8769217977
498	0.8768595629
499	0.8767904069
