iter	MultiClass
0	1.081945632
1	1.067155083
2	1.054192666
3	1.043042494
4	1.032453068
5	1.022777096
6	1.013843079
7	1.005744411
8	0.9984815708
9	0.9918925827
10	0.9858699902
11	0.980322592
12	0.9752611933
13	0.9705034929
14	0.9659915897
15	0.9620169436
16	0.9580556513
17	0.9546257789
18	0.9512886761
19	0.9485075287
20	0.945579029
21	0.9429461432
22	0.9406733456
23	0.93845231
24	0.9364242709
25	0.9344084815
26	0.9325700352
27	0.9308554016
28	0.9293382056
29	0.9278752008
30	0.9266807
31	0.9253755818
32	0.924180175
33	0.9229883917
34	0.9220520292
35	0.9211151273
36	0.9202241269
37	0.9192999838
38	0.918399983
39	0.917607195
40	0.9168973226
41	0.916120572
42	0.9154420105
43	0.9148166234
44	0.9142158823
45	0.9136958996
46	0.9132319402
47	0.9126768682
48	0.912099599
49	0.9116094434
50	0.9111429543
51	0.9106868473
52	0.9102644055
53	0.9098853462
54	0.9095220589
55	0.9091234577
56	0.9087791259
57	0.9084276197
58	0.9080497992
59	0.9077464352
60	0.907382729
61	0.9070933601
62	0.9068584203
63	0.9066409595
64	0.9063978002
65	0.9062165602
66	0.9060111021
67	0.9057885856
68	0.9055312637
69	0.9053890747
70	0.9051825357
71	0.9049400421
72	0.9047100713
73	0.9044564211
74	0.9043461914
75	0.9041457412
76	0.9039581481
77	0.9037497607
78	0.9035783366
79	0.9034015091
80	0.9032482655
81	0.9030568575
82	0.9028256705
83	0.9026402447
84	0.9025092438
85	0.9023191913
86	0.9021526648
87	0.9019975205
88	0.9018641583
89	0.9017597595
90	0.9015930899
91	0.9014168709
92	0.901328394
93	0.9012104499
94	0.9010885561
95	0.9009337469
96	0.9008011692
97	0.9006545149
98	0.9005171032
99	0.9004147613
100	0.900332943
101	0.900229147
102	0.9001696419
103	0.9000336419
104	0.8998551826
105	0.8997938891
106	0.8996735926
107	0.8995870852
108	0.8995124456
109	0.8994088648
110	0.8991899171
111	0.8990875959
112	0.8990316165
113	0.898901183
114	0.8988256416
115	0.8987151173
116	0.8986220121
117	0.8985231891
118	0.8984429327
119	0.8983356055
120	0.8982348007
121	0.8981428544
122	0.8980740813
123	0.8980091817
124	0.8979175369
125	0.8978115847
126	0.8977151932
127	0.8976322936
128	0.8975165055
129	0.8974224134
130	0.8973431182
131	0.897278426
132	0.8971908941
133	0.8970897687
134	0.8969903911
135	0.8968312868
136	0.8967326926
137	0.8966659312
